1.0	1451
1.0	1700
0.0	1742
0.0	1428
0.0	2200
1.0	1595
0.0	2049
0.0	1106
0.0	1305
1.0	2455
1.0	2166
1.0	1923
1.0	2042
1.0	1482
1.0	7598
1.0	1796
1.0	1740
1.0	4237
1.0	1762
1.0	1571
1.0	1891
0.0	1040
1.0	4447
1.0	1562
1.0	2203
1.0	1772
0.0	2602
1.0	2379
0.0	2204
1.0	1364
1.0	1087
1.0	1193
1.0	1722
1.0	5275
0.0	2470
1.0	2657
1.0	1873
0.0	1415
1.0	3030
1.0	1413
1.0	3011
1.0	1151
1.0	1532
1.0	1841
1.0	1733
0.0	2200
1.0	1300
1.0	2459
1.0	1413
1.0	1482
1.0	1555
1.0	1106
1.0	1809
1.0	2049
1.0	1430
1.0	1437
1.0	2327
1.0	1459
1.0	1610
1.0	1502
1.0	1455
1.0	2778
1.0	1171
1.0	1773
1.0	1635
1.0	1157
0.0	1336
1.0	1917
1.0	4019
1.0	1545
1.0	1852
0.0	3714
1.0	1671
1.0	1319
1.0	2679
1.0	1433
1.0	1267
1.0	1033
1.0	1246
1.0	4366
0.0	1144
1.0	1147
1.0	4985
0.0	1829
1.0	1473
1.0	1643
1.0	1337
0.0	1130
1.0	1263
1.0	3428
1.0	1088
1.0	2463
0.0	1051
1.0	3637
1.0	1213
0.660104404982212	1024
1.0	2109
1.0	2769
1.0	1377
1.0	1060
1.0	1840
1.0	3305
1.0	1215
0.0	2030
1.0	2030
1.0	1924
1.0	1066
1.0	2806
0.0	2299
0.0	2233
1.0	3457
1.0	6730
1.0	1318
1.0	2577
1.0	1462
1.0	1859
1.0	1148
1.0	4328
1.0	1021
1.0	3205
0.0	1295
1.0	1705
1.0	1576
0.0	2462
1.0	2183
0.0	1541
1.0	1445
1.0	2056
1.0	1844
0.0	1706
0.0	2018
1.0	1090
1.0	1854
1.0	1298
1.0	1867
1.0	1678
1.0	1672
1.0	1779
0.0	1360
1.0	2078
1.0	1251
1.0	1958
1.0	1033
1.0	1302
1.0	1237
0.0	1291
1.0	2228
0.0	1414
0.0	1129
1.0	1563
1.0	1517
1.0	2996
1.0	1126
1.0	1826
1.0	1074
1.0	2932
1.0	2632
1.0	4296
1.0	1666
1.0	1583
1.0	2719
1.0	1339
1.0	1609
1.0	1628
1.0	1006
1.0	1164
1.0	1171
1.0	1194
1.0	1551
0.5028403375914023	4984
1.0	1203
1.0	3186
1.0	1660
1.0	1910
1.0	1093
1.0	4709
0.0	2081
1.0	6943
1.0	1857
1.0	1059
0.0	2221
1.0	2073
0.0	2071
1.0	1775
1.0	2921
1.0	10088
1.0	3794
1.0	7117
1.0	1144
1.0	1205
1.0	2097
1.0	1550
1.0	1672
1.0	1213
1.0	2217
1.0	2552
1.0	3190
1.0	2706
1.0	1536
1.0	1118
1.0	1866
1.0	3445
1.0	1951
1.0	2460
1.0	1009
1.0	1228
1.0	1400
0.0	1356
1.0	3981
1.0	1010
0.0	1673
1.0	2621
1.0	1440
1.0	2063
1.0	2276
1.0	1612
1.0	1151
1.0	1020
0.3383592191163591	2961
1.0	2154
1.0	1949
1.0	2851
1.0	3081
1.0	1501
1.0	2493
1.0	1539
1.0	3558
1.0	4164
1.0	1359
1.0	1326
1.0	1851
0.0	1639
0.0	3243
1.0	1503
0.0	7993
1.0	3380
1.0	1536
1.0	1569
1.0	1045
1.0	2558
1.0	3664
1.0	1243
1.0	3370
0.6146711503978577	2198
0.0	1317
1.0	1470
1.0	1931
1.0	1312
0.6066039617242575	3765
1.0	2455
1.0	1455
1.0	2457
1.0	2243
1.0	3275
0.0	1729
1.0	2989
1.0	1786
1.0	1376
1.0	2236
1.0	2177
0.0	1238
0.0	1499
1.0	1624
1.0	1016
1.0	2057
1.0	3118
1.0	1280
1.0	2221
1.0	1723
1.0	1161
0.0	1086
1.0	1092
1.0	1329
1.0	1013
1.0	3782
1.0	2784
1.0	4343
1.0	2453
1.0	1340
1.0	1056
1.0	1440
1.0	2387
1.0	1731
1.0	1352
1.0	1341
1.0	1447
1.0	1077
1.0	1259
0.0	4710
1.0	3498
1.0	3009
1.0	1174
1.0	2804
1.0	3773
1.0	1346
1.0	2872
1.0	2516
1.0	1428
1.0	2070
1.0	1321
1.0	1299
1.0	1885
1.0	1414
0.0	1570
1.0	2554
1.0	1140
1.0	4189
1.0	1016
1.0	4191
1.0	4366
0.0	3167
1.0	1640
1.0	2564
1.0	2078
1.0	2053
1.0	1996
1.0	1588
1.0	1544
1.0	2822
0.0	1133
1.0	1586
1.0	1062
1.0	2453
1.0	2027
0.0	1158
1.0	2073
1.0	1691
1.0	3521
1.0	1079
1.0	1353
0.0	1643
1.0	1581
0.0	1522
1.0	1004
1.0	3141
