0.0%	3
0.1%	7
0.2%	5
0.3%	13
0.4%	8
0.5%	19
0.6%	11
0.7%	25
0.8%	14
0.9%	31
1.0%	17
1.1%	37
1.2%	20
1.3%	43
1.4%	23
1.5%	49
1.6%	26
1.7%	55
1.8%	29
1.9%	61
2.0%	32
2.1%	67
2.2%	35
2.3%	73
2.4%	38
2.5%	79
2.6%	41
2.7%	85
2.8%	44
2.9%	91
3.0%	47
3.1%	97
3.2%	50
3.3%	103
3.4%	53
3.5%	109
3.6%	56
3.7%	115
3.8%	59
3.9%	121
4.0%	62
4.1%	127
4.2%	65
4.3%	133
4.4%	68
4.5%	139
4.6%	71
4.7%	145
4.8%	74
4.9%	151
5.0%	77
5.1%	157
5.2%	80
5.3%	163
5.4%	83
5.5%	169
5.6%	86
5.7%	175
5.8%	89
5.9%	181
6.0%	92
6.1%	187
6.2%	95
6.3%	193
6.4%	98
6.5%	199
6.6%	101
6.7%	205
6.8%	104
6.9%	211
7.0%	107
7.1%	217
7.2%	110
7.3%	223
7.4%	113
7.5%	229
7.6%	116
7.7%	235
7.8%	119
7.9%	241
8.0%	122
8.1%	247
8.2%	125
8.3%	253
8.4%	128
8.5%	259
8.6%	131
8.7%	265
8.8%	134
8.9%	271
9.0%	137
9.1%	277
9.2%	140
9.3%	283
9.4%	143
9.5%	289
9.6%	146
9.7%	295
9.8%	149
9.9%	301
10.0%	152
10.1%	307
10.2%	155
10.3%	313
10.4%	158
10.5%	319
10.6%	161
10.7%	325
10.8%	164
10.9%	331
11.0%	167
11.1%	337
11.2%	170
11.3%	343
11.4%	173
11.5%	349
11.6%	176
11.7%	355
11.8%	179
11.9%	361
12.0%	182
12.1%	367
12.2%	185
12.3%	373
12.4%	188
12.5%	379
12.6%	191
12.7%	385
12.8%	194
12.9%	391
13.0%	197
13.1%	397
13.2%	200
13.3%	403
13.4%	203
13.5%	409
13.6%	206
13.7%	415
13.8%	209
13.9%	421
14.0%	212
14.1%	427
14.2%	215
14.3%	433
14.4%	218
14.5%	439
14.6%	221
14.7%	445
14.8%	224
14.9%	451
15.0%	227
15.1%	457
15.2%	230
15.3%	463
15.4%	233
15.5%	469
15.6%	236
15.7%	475
15.8%	239
15.9%	481
16.0%	242
16.1%	487
16.2%	245
16.3%	493
16.4%	248
16.5%	499
16.6%	251
16.7%	505
16.8%	254
16.9%	511
17.0%	257
17.1%	517
17.2%	260
17.3%	523
17.4%	263
17.5%	529
17.6%	266
17.7%	535
17.8%	269
17.9%	541
18.0%	272
18.1%	547
18.2%	275
18.3%	553
18.4%	278
18.5%	559
18.6%	281
18.7%	565
18.8%	284
18.9%	571
19.0%	287
19.1%	577
19.2%	290
19.3%	583
19.4%	293
19.5%	589
19.6%	296
19.7%	595
19.8%	299
19.9%	601
20.0%	302
20.1%	607
20.2%	305
20.3%	613
20.4%	308
20.5%	619
20.6%	311
20.7%	625
20.8%	314
20.9%	631
21.0%	317
21.1%	637
21.2%	320
21.3%	643
21.4%	323
21.5%	649
21.6%	326
21.7%	655
21.8%	329
21.9%	661
22.0%	332
22.1%	667
22.2%	335
22.3%	673
22.4%	338
22.5%	679
22.6%	341
22.7%	685
22.8%	344
22.9%	691
23.0%	347
23.1%	697
23.2%	350
23.3%	703
23.4%	353
23.5%	709
23.6%	356
23.7%	715
23.8%	359
23.9%	721
24.0%	362
24.1%	727
24.2%	365
24.3%	733
24.4%	368
24.5%	739
24.6%	371
24.7%	745
24.8%	374
24.9%	751
25.0%	377
25.1%	757
25.2%	380
25.3%	763
25.4%	383
25.5%	769
25.6%	386
25.7%	775
25.8%	389
25.9%	781
26.0%	392
26.1%	787
26.2%	395
26.3%	793
26.4%	398
26.5%	799
26.6%	401
26.7%	805
26.8%	404
26.9%	811
27.0%	407
27.1%	817
27.2%	410
27.3%	823
27.4%	413
27.5%	829
27.6%	416
27.7%	835
27.8%	419
27.9%	841
28.0%	422
28.1%	847
28.2%	425
28.3%	853
28.4%	428
28.5%	859
28.6%	431
28.7%	865
28.8%	434
28.9%	871
29.0%	437
29.1%	877
29.2%	440
29.3%	883
29.4%	443
29.5%	889
29.6%	446
29.7%	895
29.8%	449
29.9%	901
30.0%	452
30.1%	907
30.2%	455
30.3%	913
30.4%	458
30.5%	919
30.6%	461
30.7%	925
30.8%	464
30.9%	931
31.0%	467
31.1%	937
31.2%	470
31.3%	943
31.4%	473
31.5%	949
31.6%	476
31.7%	955
31.8%	479
31.9%	961
32.0%	482
32.1%	967
32.2%	485
32.3%	973
32.4%	488
32.5%	979
32.6%	491
32.7%	985
32.8%	494
32.9%	991
33.0%	497
33.1%	997
33.2%	500
33.3%	1003
33.4%	503
33.5%	1009
33.6%	506
33.7%	1015
33.8%	509
33.9%	1021
34.0%	512
34.1%	1027
34.2%	515
34.3%	1033
34.4%	518
34.5%	1039
34.6%	521
34.7%	1045
34.8%	524
34.9%	1051
35.0%	527
35.1%	1057
35.2%	530
35.3%	1063
35.4%	533
35.5%	1069
35.6%	536
35.7%	1075
35.8%	539
35.9%	1081
36.0%	542
36.1%	1087
36.2%	545
36.3%	1093
36.4%	548
36.5%	1099
36.6%	551
36.7%	1105
36.8%	554
36.9%	1111
37.0%	557
37.1%	1117
37.2%	560
37.3%	1123
37.4%	563
37.5%	1129
37.6%	566
37.7%	1135
37.8%	569
37.9%	1141
38.0%	572
38.1%	1147
38.2%	575
38.3%	1153
38.4%	578
38.5%	1159
38.6%	581
38.7%	1165
38.8%	584
38.9%	1171
39.0%	587
39.1%	1177
39.2%	590
39.3%	1183
39.4%	593
39.5%	1189
39.6%	596
39.7%	1195
39.8%	599
39.9%	1201
40.0%	602
40.1%	1207
40.2%	605
40.3%	1213
40.4%	608
40.5%	1219
40.6%	611
40.7%	1225
40.8%	614
40.9%	1231
41.0%	617
41.1%	1237
41.2%	620
41.3%	1243
41.4%	623
41.5%	1249
41.6%	626
41.7%	1255
41.8%	629
41.9%	1261
42.0%	632
42.1%	1267
42.2%	635
42.3%	1273
42.4%	638
42.5%	1279
42.6%	641
42.7%	1285
42.8%	644
42.9%	1291
43.0%	647
43.1%	1297
43.2%	650
43.3%	1303
43.4%	653
43.5%	1309
43.6%	656
43.7%	1315
43.8%	659
43.9%	1321
44.0%	662
44.1%	1327
44.2%	665
44.3%	1333
44.4%	668
44.5%	1339
44.6%	671
44.7%	1345
44.8%	674
44.9%	1351
45.0%	677
45.1%	1357
45.2%	680
45.3%	1363
45.4%	683
45.5%	1369
45.6%	686
45.7%	1375
45.8%	689
45.9%	1381
46.0%	692
46.1%	1387
46.2%	695
46.3%	1393
46.4%	698
46.5%	1399
46.6%	701
46.7%	1405
46.8%	704
46.9%	1411
47.0%	707
47.1%	1417
47.2%	710
47.3%	1423
47.4%	713
47.5%	1429
47.6%	716
47.7%	1435
47.8%	719
47.9%	1441
48.0%	722
48.1%	1447
48.2%	725
48.3%	1453
48.4%	728
48.5%	1459
48.6%	731
48.7%	1465
48.8%	734
48.9%	1471
49.0%	737
49.1%	1477
49.2%	740
49.3%	1483
49.4%	743
49.5%	1489
49.6%	746
49.7%	1497
49.8%	750
49.9%	1503
50.0%	1507
50.1%	755
50.2%	1513
50.3%	758
50.4%	1519
50.5%	761
50.6%	1525
50.7%	764
50.8%	1531
50.9%	767
51.0%	1537
51.1%	770
51.2%	1543
51.3%	773
51.4%	1551
51.5%	777
51.6%	1557
51.7%	780
51.8%	1563
51.9%	783
52.0%	1569
52.1%	786
52.2%	1575
52.3%	789
52.4%	1581
52.5%	792
52.6%	1587
52.7%	795
52.8%	1593
52.9%	798
53.0%	1599
53.1%	802
53.2%	1607
53.3%	805
53.4%	1613
53.5%	808
53.6%	1621
53.7%	812
53.8%	1627
53.9%	815
54.0%	1633
54.1%	818
54.2%	1639
54.3%	821
54.4%	1645
54.5%	824
54.6%	1651
54.7%	827
54.8%	1659
54.9%	831
55.0%	1665
55.1%	834
55.2%	1671
55.3%	837
55.4%	1679
55.5%	841
55.6%	1687
55.7%	845
55.8%	1693
55.9%	848
56.0%	1700
56.1%	852
56.2%	1708
56.3%	856
56.4%	1715
56.5%	859
56.6%	1721
56.7%	862
56.8%	1727
56.9%	865
57.0%	1733
57.1%	868
57.2%	1739
57.3%	871
57.4%	1745
57.5%	874
57.6%	1752
57.7%	878
57.8%	1759
57.9%	881
58.0%	1767
58.1%	885
58.2%	1773
58.3%	888
58.4%	1779
58.5%	891
58.6%	1785
58.7%	894
58.8%	1793
58.9%	898
59.0%	1801
59.1%	902
59.2%	1807
59.3%	905
59.4%	1814
