35.1%	738720
35.2%	742371
35.3%	746031
35.4%	750925
35.5%	754606
35.6%	759528
35.7%	763230
35.8%	768180
35.9%	771903
36.0%	776881
36.1%	780625
36.2%	784378
36.3%	789396
36.4%	793170
36.5%	798216
36.6%	802011
36.7%	807085
36.8%	810901
36.9%	816003
37.0%	819840
37.1%	824970
37.2%	828828
37.3%	832695
37.4%	837865
37.5%	841753
37.6%	846951
37.7%	850860
37.8%	856086
37.9%	860016
38.0%	865270
38.1%	869221
38.2%	873181
38.3%	878475
38.4%	882456
38.5%	887778
38.6%	891780
38.7%	897130
38.8%	901153
38.9%	906531
39.0%	910575
39.1%	915981
39.2%	920046
39.3%	924120
39.4%	929566
39.5%	933661
39.6%	939135
39.7%	943251
39.8%	948753
39.9%	952890
40.0%	958420
40.1%	962578
40.2%	966745
40.3%	972315
40.4%	976503
40.5%	982105
40.6%	986317
40.7%	991947
40.8%	996180
40.9%	1001838
41.0%	1006092
41.1%	1010355
41.2%	1016053
41.3%	1020337
41.4%	1026063
41.5%	1030368
41.6%	1036122
41.7%	1040448
41.8%	1046230
41.9%	1050577
42.0%	1056387
42.1%	1060755
42.2%	1065132
42.3%	1070982
42.4%	1075380
42.5%	1081258
42.6%	1085677
42.7%	1091583
42.8%	1096026
42.9%	1101964
43.0%	1106428
43.1%	1110901
43.2%	1116879
43.3%	1121373
43.4%	1127379
43.5%	1131894
43.6%	1137928
43.7%	1142464
43.8%	1148526
43.9%	1153083
44.0%	1159175
44.1%	1163758
44.2%	1168353
44.3%	1174495
44.4%	1179112
44.5%	1185282
44.6%	1189920
44.7%	1196118
44.8%	1200780
44.9%	1207010
45.0%	1211693
45.1%	1216385
45.2%	1222658
45.3%	1227374
45.4%	1233676
45.5%	1238413
45.6%	1244743
45.7%	1249501
45.8%	1255859
45.9%	1260638
46.0%	1265426
46.1%	1271826
46.2%	1276638
46.3%	1283068
46.4%	1287903
46.5%	1294365
46.6%	1299223
46.7%	1305717
46.8%	1310598
46.9%	1317120
47.0%	1322022
47.1%	1326933
47.2%	1333495
47.3%	1338427
47.4%	1345021
47.5%	1349977
47.6%	1356599
47.7%	1361576
47.8%	1368228
47.9%	1373229
48.0%	1378239
48.1%	1384933
48.2%	1389964
48.3%	1396686
48.4%	1401738
48.5%	1408490
48.6%	1413566
48.7%	1420348
48.8%	1425445
48.9%	1432255
49.0%	1437373
49.1%	1442500
49.2%	1449354
49.3%	1454505
49.4%	1461389
49.5%	1466564
49.6%	1473479
49.7%	1478678
49.8%	1485624
49.9%	1490844
50.0%	1496073
50.1%	1503059
50.2%	1508309
50.3%	1515323
50.4%	1520594
50.5%	1527640
50.6%	1532935
50.7%	1540009
50.8%	1545325
50.9%	1550651
51.0%	1557769
51.1%	1563118
51.2%	1570266
51.3%	1575639
51.4%	1582817
51.5%	1588214
51.6%	1595424
51.7%	1600842
51.8%	1608080
51.9%	1613521
52.0%	1618972
52.1%	1626254
52.2%	1631732
52.3%	1639054
52.4%	1644556
52.5%	1651906
52.6%	1657429
52.7%	1664807
52.8%	1670356
52.9%	1675918
53.0%	1683348
53.1%	1688934
53.2%	1696396
53.3%	1702003
53.4%	1709494
53.5%	1715125
53.6%	1722647
53.7%	1728299
53.8%	1735853
53.9%	1741529
54.0%	1747214
54.1%	1754808
54.2%	1760515
54.3%	1768141
54.4%	1773871
54.5%	1781525
54.6%	1787276
54.7%	1794958
54.8%	1800730
54.9%	1806511
55.0%	1814233
55.1%	1820035
55.2%	1827785
55.3%	1833610
55.4%	1841394
55.5%	1847246
55.6%	1855068
55.7%	1860950
55.8%	1866842
55.9%	1874714
56.0%	1880630
56.1%	1888532
56.2%	1894469
56.3%	1902399
56.4%	1908359
56.5%	1916321
56.6%	1922303
56.7%	1930295
56.8%	1936304
56.9%	1942327
57.0%	1950377
57.1%	1956425
57.2%	1964508
57.3%	1970583
57.4%	1978697
57.5%	1984794
57.6%	1992940
57.7%	1999063
57.8%	2005195
57.9%	2013390
58.0%	2019549
58.1%	2027776
58.2%	2033959
58.3%	2042219
58.4%	2048429
58.5%	2056723
58.6%	2062954
58.7%	2071276
58.8%	2077528
58.9%	2083791
59.0%	2092158
59.1%	2098446
59.2%	2106849
59.3%	2113166
59.4%	2121608
59.5%	2127952
59.6%	2136426
59.7%	2142793
59.8%	2149173
59.9%	2157701
60.0%	2164110
60.1%	2172680
60.2%	2179122
60.3%	2187728
60.4%	2194194
60.5%	2202835
60.6%	2209327
60.7%	2215828
60.8%	2224511
60.9%	2231036
61.0%	2239750
61.1%	2246298
61.2%	2255044
61.3%	2261616
61.4%	2270394
61.5%	2276988
61.6%	2285794
61.7%	2292411
61.8%	2299038
61.9%	2307893
62.0%	2314553
62.1%	2323447
62.2%	2330130
62.3%	2339056
62.4%	2345761
62.5%	2354715
62.6%	2361443
62.7%	2368185
62.8%	2377195
62.9%	2383963
63.0%	2393001
63.1%	2399790
63.2%	2408859
63.3%	2415675
63.4%	2424780
63.5%	2431620
63.6%	2440754
63.7%	2447615
63.8%	2454490
63.9%	2463679
64.0%	2470582
64.1%	2479800
64.2%	2486724
64.3%	2495973
64.4%	2502924
64.5%	2512209
64.6%	2519187
64.7%	2526174
64.8%	2535507
64.9%	2542524
65.0%	2551894
65.1%	2558935
65.2%	2568344
65.3%	2575414
65.4%	2584856
65.5%	2591954
65.6%	2599061
65.7%	2608558
65.8%	2615693
65.9%	2625223
66.0%	2632383
66.1%	2641952
66.2%	2649141
66.3%	2658751
66.4%	2665979
66.5%	2675640
66.6%	2682900
66.7%	2690178
66.8%	2699899
66.9%	2707202
67.0%	2716959
67.1%	2724288
67.2%	2734074
67.3%	2741428
67.4%	2751252
67.5%	2758632
67.6%	2766024
67.7%	2775906
67.8%	2783333
67.9%	2793257
68.0%	2800712
68.1%	2810669
68.2%	2818155
68.3%	2828153
68.4%	2835662
68.5%	2845691
68.6%	2853229
68.7%	2860777
68.8%	2870863
68.9%	2878447
69.0%	2888594
69.1%	2896229
69.2%	2906428
69.3%	2914093
69.4%	2924327
69.5%	2932015
69.6%	2939713
